,Day,Austria,Belgium,China,France,Germany,Iran,Italy,South Korea,Netherlands,Spain,Switzerland,Turkey,US,United Kingdom
0,1,104,109,548,100,130,139,155,104,128,120,114,192,118,116
1,2,131,169,643,130,159,245,229,204,188,165,214,359,149,164
2,3,182,200,920,191,196,388,322,433,265,222,268,670,217,207
3,4,246,239,1406,204,262,593,453,602,321,259,337,1236,262,274
4,5,302,267,2075,288,482,978,655,833,382,400,374,1529,402,322
5,6,504,314,2877,380,670,1501,888,977,503,500,491,1872,518,384
6,7,655,314,5509,656,799,2336,1128,1261,503,673,652,2433,583,459
7,8,860,559,6087,959,1040,2922,1694,1766,806,1073,652,3629,959,459
8,9,1018,689,8141,1136,1176,3513,2036,2337,962,1695,1139,5698,1281,802
9,10,1332,886,9802,1219,1457,4747,2502,3150,1138,2277,1359,NaN,1663,1144
10,11,1646,1058,11891,1794,1908,5823,3089,3736,1416,2277,2200,NaN,2179,1145
11,12,2013,1243,16630,2293,2078,6566,3858,4335,1711,5232,2200,NaN,2727,1551
12,13,2388,1486,19716,2293,3675,7161,4636,5186,2058,6391,2700,NaN,3499,1960
13,14,2814,1795,23707,3681,4585,8042,5883,5621,2467,7798,3028,NaN,4632,2642
14,15,3582,2257,27440,4496,5795,9000,7375,6088,3003,9942,4075,NaN,6421,2716
15,16,4474,2815,30587,4532,7272,10075,9172,6593,3640,11748,5294,NaN,7783,4014
16,17,5283,3401,34110,6683,9257,11364,10149,7041,4217,13910,6575,NaN,13677,5067
17,18,5588,3743,36814,7715,12327,12729,12462,7314,4764,17963,7474,NaN,19100,5745
18,19,6909,4269,39829,9124,15320,13938,12462,7478,5580,20410,8795,NaN,25489,6726
19,20,7657,4937,42354,10970,19848,14991,17660,7513,6438,25374,9877,NaN,33276,8164
20,21,NaN,6235,44386,12758,22213,16169,21157,7755,7468,28768,10897,NaN,43847,9640
21,22,NaN,7284,44759,14463,24873,17361,24747,7869,8647,35136,11811,NaN,53740,11812
22,23,NaN,NaN,59895,16243,29056,18407,27980,7979,NaN,39885,12928,NaN,65778,14745
23,24,NaN,NaN,66358,20123,32986,19644,31506,8086,NaN,49515,NaN,NaN,83836,NaN
24,25,NaN,NaN,68413,22622,37323,20610,35713,8162,NaN,57786,NaN,NaN,101657,NaN
25,26,NaN,NaN,70513,25600,43938,21638,41035,8236,NaN,65719,NaN,NaN,NaN,NaN
26,27,NaN,NaN,72434,29551,50871,23049,47021,8320,NaN,NaN,NaN,NaN,NaN,NaN
27,28,NaN,NaN,74211,33402,NaN,24811,53578,8413,NaN,NaN,NaN,NaN,NaN,NaN
28,29,NaN,NaN,74619,NaN,NaN,27017,59138,8565,NaN,NaN,NaN,NaN,NaN,NaN
29,30,NaN,NaN,75077,NaN,NaN,29406,63927,8652,NaN,NaN,NaN,NaN,NaN,NaN
30,31,NaN,NaN,75550,NaN,NaN,32332,69176,8799,NaN,NaN,NaN,NaN,NaN,NaN
31,32,NaN,NaN,77001,NaN,NaN,NaN,74386,8961,NaN,NaN,NaN,NaN,NaN,NaN
32,33,NaN,NaN,77022,NaN,NaN,NaN,80589,8961,NaN,NaN,NaN,NaN,NaN,NaN
33,34,NaN,NaN,77241,NaN,NaN,NaN,86498,9037,NaN,NaN,NaN,NaN,NaN,NaN
34,35,NaN,NaN,77754,NaN,NaN,NaN,NaN,9137,NaN,NaN,NaN,NaN,NaN,NaN
35,36,NaN,NaN,78166,NaN,NaN,NaN,NaN,9241,NaN,NaN,NaN,NaN,NaN,NaN
36,37,NaN,NaN,78600,NaN,NaN,NaN,NaN,9332,NaN,NaN,NaN,NaN,NaN,NaN
37,38,NaN,NaN,78928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,39,NaN,NaN,79356,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,40,NaN,NaN,79932,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,41,NaN,NaN,80136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,42,NaN,NaN,80261,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,43,NaN,NaN,80386,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
