,Day,Austria,Belgium,China,France,Germany,Iran,Italy,South Korea,Netherlands,Spain,Switzerland,Turkey,US,United Kingdom
0,1,104,109,548,100,130,139,155,104,128,120,114,192,118,116
1,2,131,169,643,130,159,245,229,204,188,165,214,359,149,164
2,3,182,200,920,191,196,388,322,433,265,222,268,670,217,207
3,4,246,239,1406,204,262,593,453,602,321,259,337,1236,262,274
4,5,302,267,2075,288,482,978,655,833,382,400,374,1529,402,322
5,6,504,314,2877,380,670,1501,888,977,503,500,491,1872,518,384
6,7,655,314,5509,656,799,2336,1128,1261,503,673,652,2433,583,459
7,8,860,559,6087,959,1040,2922,1694,1766,806,1073,652,3629,959,459
8,9,1018,689,8141,1136,1176,3513,2036,2337,962,1695,1139,5698,1281,802
9,10,1332,886,9802,1219,1457,4747,2502,3150,1138,2277,1359,null,1663,1144
10,11,1646,1058,11891,1794,1908,5823,3089,3736,1416,2277,2200,null,2179,1145
11,12,2013,1243,16630,2293,2078,6566,3858,4335,1711,5232,2200,null,2727,1551
12,13,2388,1486,19716,2293,3675,7161,4636,5186,2058,6391,2700,null,3499,1960
13,14,2814,1795,23707,3681,4585,8042,5883,5621,2467,7798,3028,null,4632,2642
14,15,3582,2257,27440,4496,5795,9000,7375,6088,3003,9942,4075,null,6421,2716
15,16,4474,2815,30587,4532,7272,10075,9172,6593,3640,11748,5294,null,7783,4014
16,17,5283,3401,34110,6683,9257,11364,10149,7041,4217,13910,6575,null,13677,5067
17,18,5588,3743,36814,7715,12327,12729,12462,7314,4764,17963,7474,null,19100,5745
18,19,6909,4269,39829,9124,15320,13938,12462,7478,5580,20410,8795,null,25489,6726
19,20,7657,4937,42354,10970,19848,14991,17660,7513,6438,25374,9877,null,33276,8164
20,21,null,6235,44386,12758,22213,16169,21157,7755,7468,28768,10897,null,43847,9640
21,22,null,7284,44759,14463,24873,17361,24747,7869,8647,35136,11811,null,53740,11812
22,23,null,null,59895,16243,29056,18407,27980,7979,null,39885,12928,null,65778,14745
23,24,null,null,66358,20123,32986,19644,31506,8086,null,49515,null,null,83836,null
24,25,null,null,68413,22622,37323,20610,35713,8162,null,57786,null,null,101657,null
25,26,null,null,70513,25600,43938,21638,41035,8236,null,65719,null,null,null,null
26,27,null,null,72434,29551,50871,23049,47021,8320,null,null,null,null,null,null
27,28,null,null,74211,33402,null,24811,53578,8413,null,null,null,null,null,null
28,29,null,null,74619,null,null,27017,59138,8565,null,null,null,null,null,null
29,30,null,null,75077,null,null,29406,63927,8652,null,null,null,null,null,null
30,31,null,null,75550,null,null,32332,69176,8799,null,null,null,null,null,null
31,32,null,null,77001,null,null,null,74386,8961,null,null,null,null,null,null
32,33,null,null,77022,null,null,null,80589,8961,null,null,null,null,null,null
33,34,null,null,77241,null,null,null,86498,9037,null,null,null,null,null,null
34,35,null,null,77754,null,null,null,null,9137,null,null,null,null,null,null
35,36,null,null,78166,null,null,null,null,9241,null,null,null,null,null,null
36,37,null,null,78600,null,null,null,null,9332,null,null,null,null,null,null
37,38,null,null,78928,null,null,null,null,null,null,null,null,null,null,null
38,39,null,null,79356,null,null,null,null,null,null,null,null,null,null,null
39,40,null,null,79932,null,null,null,null,null,null,null,null,null,null,null
40,41,null,null,80136,null,null,null,null,null,null,null,null,null,null,null
41,42,null,null,80261,null,null,null,null,null,null,null,null,null,null,null
42,43,null,null,80386,null,null,null,null,null,null,null,null,null,null,null
43,44,null,null,80537,null,null,null,null,null,null,null,null,null,null,null
44,45,null,null,80690,null,null,null,null,null,null,null,null,null,null,null
45,46,null,null,80770,null,null,null,null,null,null,null,null,null,null,null
46,47,null,null,80823,null,null,null,null,null,null,null,null,null,null,null
47,48,null,null,80860,null,null,null,null,null,null,null,null,null,null,null
48,49,null,null,80887,null,null,null,null,null,null,null,null,null,null,null
49,50,null,null,80921,null,null,null,null,null,null,null,null,null,null,null
50,51,null,null,80932,null,null,null,null,null,null,null,null,null,null,null
51,52,null,null,80945,null,null,null,null,null,null,null,null,null,null,null
52,53,null,null,80977,null,null,null,null,null,null,null,null,null,null,null
53,54,null,null,81003,null,null,null,null,null,null,null,null,null,null,null
54,55,null,null,81033,null,null,null,null,null,null,null,null,null,null,null
55,56,null,null,81058,null,null,null,null,null,null,null,null,null,null,null
56,57,null,null,81102,null,null,null,null,null,null,null,null,null,null,null
57,58,null,null,81156,null,null,null,null,null,null,null,null,null,null,null
58,59,null,null,81250,null,null,null,null,null,null,null,null,null,null,null
59,60,null,null,81305,null,null,null,null,null,null,null,null,null,null,null
60,61,null,null,81435,null,null,null,null,null,null,null,null,null,null,null
61,62,null,null,81498,null,null,null,null,null,null,null,null,null,null,null
62,63,null,null,81591,null,null,null,null,null,null,null,null,null,null,null
63,64,null,null,81661,null,null,null,null,null,null,null,null,null,null,null
64,65,null,null,81782,null,null,null,null,null,null,null,null,null,null,null
65,66,null,null,81897,null,null,null,null,null,null,null,null,null,null,null
